"Date","Price","Open","High","Low","Change %"
"25-07-2024","6.833","6.866","6.866","6.833","-0.58%"
"24-07-2024","6.873","6.891","6.909","6.873","-0.15%"
"23-07-2024","6.883","6.964","6.964","6.883","0.16%"
"22-07-2024","6.872","6.899","6.899","6.872","-0.17%"
"19-07-2024","6.884","6.918","6.918","6.884","-0.19%"
"18-07-2024","6.897","6.915","6.915","6.897","0.03%"
"16-07-2024","6.895","6.933","6.933","6.895","0.13%"
"15-07-2024","6.886","6.958","6.958","6.886","-0.59%"
"12-07-2024","6.927","6.953","6.953","6.927","0.29%"
"11-07-2024","6.907","6.907","6.907","6.907","-0.30%"
"10-07-2024","6.928","6.968","6.968","6.917","0.30%"
"09-07-2024","6.907","6.923","6.940","6.907","0.00%"
